"Student_ID","Age","Gender","Academic_Level","Country","Avg_Daily_Usage_Hours","Most_Used_Platform","Sleep_Hours_Per_Night","Mental_Health_Score","Relationship_Status","Conflicts_Over_Social_Media","Addicted_Score","Social_Media_Burnout"
932,20,"Female","Undergraduate","China",3.3,"Facebook",8.9,5,"In Relationship",4,5,"Moderate"
1985,22,"Female","Graduate","Montenegro",3.4,"Instagram",8.5,7,"In Relationship",2,4,"Moderate"
279,20,"Female","Undergraduate","India",5.1,"Instagram",6.6,6,"In Relationship",3,8,"Moderate"
9726,22,"Male","Graduate","Ireland",5.2,"TikTok",5.5,7,"Single",3,5,"Low"
8379,20,"Female","Undergraduate","India",2.3,"Instagram",6.5,6,"In Relationship",3,5,"Low"
9482,22,"Male","Graduate","India",3.1,"TikTok",7,5,"In Relationship",4,7,"Moderate"
4557,24,"Male","Graduate","South Korea",5.7,"TikTok",6,5,"Single",4,7,"Moderate"
1563,19,"Female","Undergraduate","Singapore",5.2,"Instagram",7,4,"Single",3,5,"Moderate"
7035,22,"Male","Graduate","Russia",7.1,"Instagram",7.3,5,"In Relationship",2,7,"Moderate"
7541,22,"Male","Graduate","Italy",4.5,"WhatsApp",6.8,7,"In Relationship",3,7,"Moderate"
7575,22,"Male","Graduate","India",4.9,"WeChat",7.1,8,"Single",4,8,"Moderate"
571,21,"Female","Undergraduate","China",3.7,"TikTok",5.2,8,"Single",3,7,"Moderate"
7051,21,"Female","Graduate","Mexico",5.2,"TikTok",7.5,8,"In Relationship",4,5,"Moderate"
6303,21,"Male","Graduate","Poland",3.2,"WhatsApp",6.7,4,"In Relationship",2,7,"Low"
4238,22,"Male","Graduate","Romania",5.4,"TikTok",7.9,4,"Single",4,5,"High"
2597,22,"Male","Graduate","Malaysia",4.5,"Facebook",6.8,6,"In Relationship",4,7,"Moderate"
5695,21,"Male","Graduate","Turkey",3.7,"Twitter",7.2,6,"Single",3,3,"Moderate"
1825,20,"Male","Undergraduate","New Zealand",3.8,"WhatsApp",6.3,8,"Single",2,4,"Moderate"
7001,22,"Male","Graduate","Canada",6.5,"TikTok",6.4,5,"Single",3,4,"Moderate"
630,22,"Male","Graduate","USA",4.7,"Facebook",5.7,6,"Single",3,5,"Moderate"
9411,19,"Female","High School","Pakistan",4.4,"Facebook",5,7,"Single",2,7,"Moderate"
2988,22,"Male","Graduate","Turkey",4.5,"WhatsApp",7.4,7,"In Relationship",4,6,"Moderate"
7474,20,"Female","Undergraduate","Canada",4.7,"Instagram",6.9,6,"Single",2,8,"High"
6203,20,"Female","Undergraduate","Pakistan",4.5,"YouTube",7.3,8,"Single",2,7,"Moderate"
1210,20,"Female","Undergraduate","USA",6.6,"Instagram",5.8,8,"Single",3,8,"Moderate"
4240,20,"Female","Undergraduate","Pakistan",6.1,"TikTok",8.4,5,"Single",4,8,"Moderate"
